Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
MVP,"Trellix Premium
LICENSE: Per User with up to 5 devices per user
DELIVERABLE: Software as a Service (SaaS) with activation email.
MANAGEMENT:  ePO - SaaS providing cloud-based console for multiple admins with role-based controls for dashboards, policies, deployments, updates, reporting, and more.
FEATURES:  Premium defense for your endpoints with ability to prevent, detect, and response to threat attacks and data loss incidents.
1.	Prioritized & predictive threat intelligence with security risk advisor for endpoints & prescriptive policy recommendations (Trellix Insights).
2.	Integrated next-gen AV preventive controls including static and dynamic machine learning, exploit detection, behavior monitoring, web protection for suspicious sites & downloads, firewall, application containment, device control for ports & USB, Trellix Native Drive Encryption, rollback remediation, and optional management of native security controls for Windows 10.
3.	Protect accidental and malicious data loss through common channels at the endpoint such as: email, web posting, printing, USB drives, uploading to the cloud and meet industry & government compliance (GDPR,PCI,HIPAA) to protected intellectual property at the same time.
4.	Endpoint detection, investigation and response (EDR) with continuous endpoint monitoring, 30-day event storage, advanced threat hunting with real-time searches, AI-guided investigation and response, reputation management and integrations with partner products (e.g. SIEM, Threat Intelligence).
DOWNLOADS:  Trellix Agent with optional modules including Protection for Native Security, Endpoint Security for Windows, Endpoint Security for macOS, Endpoint Security for Linux, DXL Local Broker, Device Control for Windows & MacOS, Trellix Native Drive Encryption for Windows & MacOS, Data Loss Prevention Endpoint for Windows & MacOS, and Trellix EDR for Windows, MacOS, & Linux.
CLOUD SERVICES:  Trellix Insights & Trellix EDR, Threat Intelligence Exchange - SaaS
RESTRICTIONS:  Please see product documentation for details as some features may vary depending on the Operating System. For further exceptions, please refer to the Quoting Handbook.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-250,Trellix Premium 1:1TE,MVPECE-AA,420.64,MVPECE-AA-AA,
B,251-1000,Trellix Premium 1:1TE,MVPECE-AA,378.56,MVPECE-AA-BA,
C,1001-2000,Trellix Premium 1:1TE,MVPECE-AA,333.16,MVPECE-AA-CA,
D,2001-5000,Trellix Premium 1:1TE,MVPECE-AA,289.86,MVPECE-AA-DA,
E,5001-10000,Trellix Premium 1:1TE,MVPECE-AA,275.37,MVPECE-AA-EA,
F,10001-+,Trellix Premium 1:1TE,MVPECE-AA,254.8,MVPECE-AA-FA,
MVPU,"Trellix Premium - Upgrade
LICENSE: Per User with up to 5 devices per user
DELIVERABLE: Software as a Service (SaaS) with activation email.
MANAGEMENT:  ePO - SaaS providing cloud-based console for multiple admins with role-based controls for dashboards, policies, deployments, updates, reporting, and more.
FEATURES:  Premium defense for your endpoints with ability to prevent, detect, and response to threat attacks and data loss incidents.
1.	Prioritized & predictive threat intelligence with security risk advisor for endpoints & prescriptive policy recommendations (Trellix Insights).
2.	Integrated next-gen AV preventive controls including static and dynamic machine learning, exploit detection, behavior monitoring, web protection for suspicious sites & downloads, firewall, application containment, device control for ports & USB, Trellix Native Drive Encryption, rollback remediation, and optional management of native security controls for Windows 10.
3.	Protect accidental and malicious data loss through common channels at the endpoint such as: email, web posting, printing, USB drives, uploading to the cloud and meet industry & government compliance (GDPR,PCI,HIPAA) to protected intellectual property at the same time.
4.	Endpoint detection, investigation and response (EDR) with continuous endpoint monitoring, 30-day event storage, advanced threat hunting with real-time searches, AI-guided investigation and response, reputation management and integrations with partner products (e.g. SIEM, Threat Intelligence).
DOWNLOADS:  Trellix Agent with optional modules including Protection for Native Security, Endpoint Security for Windows, Endpoint Security for macOS, Endpoint Security for Linux, DXL Local Broker, Device Control for Windows & MacOS, Trellix Native Drive Encryption for Windows & MacOS, Data Loss Prevention Endpoint for Windows & MacOS, and Trellix EDR for Windows, MacOS, & Linux.
CLOUD SERVICES:  Trellix Insights & Trellix EDR, Threat Intelligence Exchange - SaaS
RESTRICTIONS:  Please see product documentation for details as some features may vary depending on the Operating System. For further exceptions, please refer to the Quoting Handbook.",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-250,Trellix Premium UPGD 1:1TE,MVPECE-DA,420.64,MVPECE-DA-AA,
B,251-1000,Trellix Premium UPGD 1:1TE,MVPECE-DA,378.56,MVPECE-DA-BA,
C,1001-2000,Trellix Premium UPGD 1:1TE,MVPECE-DA,333.16,MVPECE-DA-CA,
D,2001-5000,Trellix Premium UPGD 1:1TE,MVPECE-DA,289.86,MVPECE-DA-DA,
E,5001-10000,Trellix Premium UPGD 1:1TE,MVPECE-DA,275.37,MVPECE-DA-EA,
F,10001-+,Trellix Premium UPGD 1:1TE,MVPECE-DA,254.8,MVPECE-DA-FA,
,Protection and EDR (SaaS & On-Premise),,,,,
MDR1,"Managed Detection & Response Service 1
LICENSE: Per User
DELIVERABLE: Soc as a Service (SaaS) with activation email to accompany Trellix Endpoint Security
MANAGEMENT:  SaaS EDR or TRXE
FEATURES INCLUDED: Trellix Managed Detection and Response (MDR) is a fully managed service that empowers organizations to enhance their cybersecurity posture without the burden of building and maintaining in-house resources and expertise. Many organizations struggle to obtain or maintain the necessary security infrastructure, leaving them vulnerable to increasingly sophisticated threats. Trellix MDR solves this challenge by delivering a comprehensive solution that integrates Trellix EDR with the expertise, people, and processes required for effective threat mitigation.
Trellix MDR offers continuous 24/7/365 monitoring and rapid threat response, ensuring that organizations stay protected around the clock. With expert-led security operations, Trellix MDR identifies and responds to threats before they can cause significant harm. This service also includes tailored security recommendations and remediation guidance, providing organizations with peace of mind and a worry-free approach to managing endpoint security. The MDR service primarily relies on North America-based personnel and tools.
RESTRICTIONS: Must Have Equal Number of Trellix EDR Licenses purchased, at the same time or previously. For further exceptions, please refer to the Quoting Handbook.
LIMITATIONS and REQUIREMENTS: Customers must have at least 500 licenses of EDR (through MV6, TRXE1 or suitable suite) that are new or active subscriptions.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-250,Trellix MDR1 1:1TE,MDR1ECE-AA,174.95,MDR1ECE-AAAA,
B,251-1000,Trellix MDR1 1:1TE,MDR1ECE-AA,130.75,MDR1ECE-AABA,
C,1001-2000,Trellix MDR1 1:1TE,MDR1ECE-AA,100.55,MDR1ECE-AACA,
D,2001-5000,Trellix MDR1 1:1TE,MDR1ECE-AA,75,MDR1ECE-AADA,
E,5001-10000,Trellix MDR1 1:1TE,MDR1ECE-AA,64.55,MDR1ECE-AAEA,
F,10001-+,Trellix MDR1 1:1TE,MDR1ECE-AA,56.77,MDR1ECE-AAFA,
TRXHX,"Trellix Advanced Endpoint Security with Forensics
LICENSE: Per User
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment. IaaS in AWS for Trellix Endpoint Security (HX)
MANAGEMENT:  ePO - SaaS, ePO - On-prem, ePO - IaaS, Endpoint Security (HX)- Cloud HX, Endpoint Security (HX) – vHX, Threat Intelligence Exchange (TIE), Threat Intelligence Exchange - SaaS and Data Exchange Layer (DXL).
FEATURES INCLUDED: Unified Trellix EDR with Forensics (EDRF) client combines Trellix Endpoint Security HX and Trellix EDR traces, offering comprehensive detection, investigation, forensics, and response for Windows, macOS, and Linux platforms for on-prem environments, Protection for Native Security, Endpoint Security for Windows, macOS, and Linux Platforms, Device Control, Command Line Scanner, Application Control for PCs, Trellix Insights for profiling ""Top Attacks"" with guidance to improve protection, and access to deploy Strategic Innovation Alliance (SIA) partner products. HX Controller deployment options include HW, HW DMZ, Virtual Appliance (VA), VA DMZ and Cloud. Up to 10 VA for HX  included in the subscription cost but must be quoted separately. HW appliance and Cloud HX deployment SKUs need to be purchased separately. Quotes and Orders must additionally include the required number of deployment option physical/virtual appliances if required by customer - for corresponding appliance activation keys.
RESTRICTIONS: Limited to a maximum of 5 devices per User. ePO - SaaS does not support all product features. Refer to specific product documentation for the latest compatibility with ePO - SaaS. This entitlement includes ePO - SaaS Cloud tenancy located in United States data center only. EDR Cloud Capabilities are not part of the offering. For further exceptions, please refer to the Quoting Handbook.",,,,,
,Subscription Offering - 2 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Trellix Adv EP Sec w/ Frnsics 2W 1:1TE,TRXHX2WECE-AA,217.59,TRXHX2WECE-AA-AA,
B,251-1000,Trellix Adv EP Sec w/ Frnsics 2W 1:1TE,TRXHX2WECE-AA,195.1,TRXHX2WECE-AA-BA,
C,1001-2000,Trellix Adv EP Sec w/ Frnsics 2W 1:1TE,TRXHX2WECE-AA,172.57,TRXHX2WECE-AA-CA,
D,2001-5000,Trellix Adv EP Sec w/ Frnsics 2W 1:1TE,TRXHX2WECE-AA,150.07,TRXHX2WECE-AA-DA,
E,5001-10000,Trellix Adv EP Sec w/ Frnsics 2W 1:1TE,TRXHX2WECE-AA,142.55,TRXHX2WECE-AA-EA,
F,10001-+,Trellix Adv EP Sec w/ Frnsics 2W 1:1TE,TRXHX2WECE-AA,135.06,TRXHX2WECE-AA-FA,
,Subscription Offering - 1 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Trellix Adv EP Sec w/ Frnsics 1W 1:1TE,TRXHX1WECE-AA,239.34,TRXHX1WECE-AA-AA,
B,251-1000,Trellix Adv EP Sec w/ Frnsics 1W 1:1TE,TRXHX1WECE-AA,214.59,TRXHX1WECE-AA-BA,
C,1001-2000,Trellix Adv EP Sec w/ Frnsics 1W 1:1TE,TRXHX1WECE-AA,189.84,TRXHX1WECE-AA-CA,
D,2001-5000,Trellix Adv EP Sec w/ Frnsics 1W 1:1TE,TRXHX1WECE-AA,165.07,TRXHX1WECE-AA-DA,
E,5001-10000,Trellix Adv EP Sec w/ Frnsics 1W 1:1TE,TRXHX1WECE-AA,156.79,TRXHX1WECE-AA-EA,
F,10001-+,Trellix Adv EP Sec w/ Frnsics 1W 1:1TE,TRXHX1WECE-AA,148.56,TRXHX1WECE-AA-FA,
,Subscription Offering - Offline,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Trellix Adv EP Sec w/ Frnsics OF 1:1TE,TRXHXOFECE-AA,250.22,TRXHXOFECE-AA-AA,
B,251-1000,Trellix Adv EP Sec w/ Frnsics OF 1:1TE,TRXHXOFECE-AA,224.37,TRXHXOFECE-AA-BA,
C,1001-2000,Trellix Adv EP Sec w/ Frnsics OF 1:1TE,TRXHXOFECE-AA,198.44,TRXHXOFECE-AA-CA,
D,2001-5000,Trellix Adv EP Sec w/ Frnsics OF 1:1TE,TRXHXOFECE-AA,172.57,TRXHXOFECE-AA-DA,
E,5001-10000,Trellix Adv EP Sec w/ Frnsics OF 1:1TE,TRXHXOFECE-AA,163.92,TRXHXOFECE-AA-EA,
F,10001-+,Trellix Adv EP Sec w/ Frnsics OF 1:1TE,TRXHXOFECE-AA,155.32,TRXHXOFECE-AA-FA,
TRXHXU,"Trellix Advanced Endpoint Security with Forensics - Upgrade
LICENSE: Per User
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment. IaaS in AWS for Trellix Endpoint Security (HX)
MANAGEMENT:  ePO - SaaS, ePO - On-prem, ePO - IaaS, Endpoint Security (HX)- Cloud HX, Endpoint Security (HX) – vHX, Threat Intelligence Exchange (TIE), Threat Intelligence Exchange - SaaS and Data Exchange Layer (DXL).
FEATURES INCLUDED: Unified Trellix EDR with Forensics (EDRF) client combines Trellix Endpoint Security HX and Trellix EDR traces, offering comprehensive detection, investigation, forensics, and response for Windows, macOS, and Linux platforms for on-prem environments, Protection for Native Security, Endpoint Security for Windows, macOS, and Linux Platforms, Device Control, Command Line Scanner, Application Control for PCs, Trellix Insights for profiling ""Top Attacks"" with guidance to improve protection, and access to deploy Strategic Innovation Alliance (SIA) partner products. HX Controller deployment options include HW, HW DMZ, Virtual Appliance (VA), VA DMZ and Cloud. Up to 10 VA for HX  included in the subscription cost but must be quoted separately. HW appliance and Cloud HX deployment SKUs need to be purchased separately. Quotes and Orders must additionally include the required number of deployment option physical/virtual appliances if required by customer - for corresponding appliance activation keys.
RESTRICTIONS: Limited to a maximum of 5 devices per User. ePO - SaaS does not support all product features. Refer to specific product documentation for the latest compatibility with ePO - SaaS. This entitlement includes ePO - SaaS Cloud tenancy located in United States data center only. EDR Cloud Capabilities are not part of the offering. For further exceptions, please refer to the Quoting Handbook.",,,,,
,Upgrade Subscription Offering - 2 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Frnsics 2W UPG 1:1 TE,TRXHX2WECE-DA,217.59,TRXHX2WECE-DA-AA,
B,251-1000,Tlx Adv EP Sec w/ Frnsics 2W UPG 1:1 TE,TRXHX2WECE-DA,195.1,TRXHX2WECE-DA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Frnsics 2W UPG 1:1 TE,TRXHX2WECE-DA,172.57,TRXHX2WECE-DA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Frnsics 2W UPG 1:1 TE,TRXHX2WECE-DA,150.07,TRXHX2WECE-DA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Frnsics 2W UPG 1:1 TE,TRXHX2WECE-DA,142.55,TRXHX2WECE-DA-EA,
F,10001-+,Tlx Adv EP Sec w/ Frnsics 2W UPG 1:1 TE,TRXHX2WECE-DA,135.06,TRXHX2WECE-DA-FA,
,Upgrade Subscription Offering - 1 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Frnsics 1W UPG 1:1 TE,TRXHX1WECE-DA,239.34,TRXHX1WECE-DA-AA,
B,251-1000,Tlx Adv EP Sec w/ Frnsics 1W UPG 1:1 TE,TRXHX1WECE-DA,214.59,TRXHX1WECE-DA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Frnsics 1W UPG 1:1 TE,TRXHX1WECE-DA,189.84,TRXHX1WECE-DA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Frnsics 1W UPG 1:1 TE,TRXHX1WECE-DA,165.07,TRXHX1WECE-DA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Frnsics 1W UPG 1:1 TE,TRXHX1WECE-DA,156.79,TRXHX1WECE-DA-EA,
F,10001-+,Tlx Adv EP Sec w/ Frnsics 1W UPG 1:1 TE,TRXHX1WECE-DA,148.56,TRXHX1WECE-DA-FA,
,Upgrade Subscription Offering - Offline,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Frnsics OF UPG 1:1 TE,TRXHXOFECE-DA,250.22,TRXHXOFECE-DA-AA,
B,251-1000,Tlx Adv EP Sec w/ Frnsics OF UPG 1:1 TE,TRXHXOFECE-DA,224.37,TRXHXOFECE-DA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Frnsics OF UPG 1:1 TE,TRXHXOFECE-DA,198.44,TRXHXOFECE-DA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Frnsics OF UPG 1:1 TE,TRXHXOFECE-DA,172.57,TRXHXOFECE-DA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Frnsics OF UPG 1:1 TE,TRXHXOFECE-DA,163.92,TRXHXOFECE-DA-EA,
F,10001-+,Tlx Adv EP Sec w/ Frnsics OF UPG 1:1 TE,TRXHXOFECE-DA,155.32,TRXHXOFECE-DA-FA,
TRXE1,"Trellix Endpoint Security Suite
LICENSE: Per User
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment. IaaS in AWS for Trellix Endpoint Security (HX)
MANAGEMENT:  ePO - SaaS, ePO - On-prem, ePO - IaaS, Endpoint Security (HX)- Cloud HX, Endpoint Security (HX) – vHX, Threat Intelligence Exchange (TIE), Threat Intelligence Exchange - SaaS and Data Exchange Layer (DXL).
FEATURES INCLUDED: Unified Trellix EDR with Forensics (EDRF) platform combines Trellix Endpoint Security HX and Trellix EDR, offering advanced detection, investigation, forensics, and response for Windows, macOS, and Linux platforms in both On-Prem and SaaS environments, Protection for Native Security, Endpoint Security for Windows, macOS, and Linux Platforms, Device Control, Command Line Scanner, Application Control for PCs, Trellix Insights for profiling ""Top Attacks"" with guidance to improve protection, and access to deploy Strategic Innovation Alliance (SIA) partner products. HX Controller deployment options include HW, HW DMZ, Virtual Appliance (VA), VA DMZ and Cloud. Upto 10 VA for HX included in the subscription but must be quoted separately. HW appliance and Cloud HX deployment SKUs need to be purchased separately. Quotes and Orders must additionally include the required number of deployment option physical/virtual appliances if required by customer - for corresponding appliance activation keys.
RESTRICTIONS: Limited to maximum of 5 devices per User. ePO - SaaS does not support all product features. Refer to specific product documentation for the latest compatibility with ePO - SaaS. This entitlement includes ePO - SaaS and Trellix EDR Cloud tenancies located in United States data centers only. Cloud HX (if purchased separately) tenancy will be in US data center only. For further exceptions, please refer to the Quoting Handbook.",,,,,
,Subscription Offering - 2 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Trellix Endpnt Sec Suite 1:1TE,TRXE1ECE-AA,261.37,TRXE1ECE-AA-AA,
B,251-1000,Trellix Endpnt Sec Suite 1:1TE,TRXE1ECE-AA,234.33,TRXE1ECE-AA-BA,
C,1001-2000,Trellix Endpnt Sec Suite 1:1TE,TRXE1ECE-AA,207.29,TRXE1ECE-AA-CA,
D,2001-5000,Trellix Endpnt Sec Suite 1:1TE,TRXE1ECE-AA,180.23,TRXE1ECE-AA-DA,
E,5001-10000,Trellix Endpnt Sec Suite 1:1TE,TRXE1ECE-AA,171.2,TRXE1ECE-AA-EA,
F,10001-+,Trellix Endpnt Sec Suite 1:1TE,TRXE1ECE-AA,162.22,TRXE1ECE-AA-FA,
,Subscription Offering - 1 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Trellix Endpnt Sec Suite 1W 1:1 TE,TRXE11WECE-AA,287.53,TRXE11WECE-AA-AA,
B,251-1000,Trellix Endpnt Sec Suite 1W 1:1 TE,TRXE11WECE-AA,257.75,TRXE11WECE-AA-BA,
C,1001-2000,Trellix Endpnt Sec Suite 1W 1:1 TE,TRXE11WECE-AA,228.03,TRXE11WECE-AA-CA,
D,2001-5000,Trellix Endpnt Sec Suite 1W 1:1 TE,TRXE11WECE-AA,198.25,TRXE11WECE-AA-DA,
E,5001-10000,Trellix Endpnt Sec Suite 1W 1:1 TE,TRXE11WECE-AA,188.34,TRXE11WECE-AA-EA,
F,10001-+,Trellix Endpnt Sec Suite 1W 1:1 TE,TRXE11WECE-AA,178.44,TRXE11WECE-AA-FA,
,Subscription Offering - Offline,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Trellix Endpnt Sec Suite OF 1:1 TE,TRXE1OFECE-AA,300.57,TRXE1OFECE-AA-AA,
B,251-1000,Trellix Endpnt Sec Suite OF 1:1 TE,TRXE1OFECE-AA,269.47,TRXE1OFECE-AA-BA,
C,1001-2000,Trellix Endpnt Sec Suite OF 1:1 TE,TRXE1OFECE-AA,238.4,TRXE1OFECE-AA-CA,
D,2001-5000,Trellix Endpnt Sec Suite OF 1:1 TE,TRXE1OFECE-AA,207.26,TRXE1OFECE-AA-DA,
E,5001-10000,Trellix Endpnt Sec Suite OF 1:1 TE,TRXE1OFECE-AA,196.89,TRXE1OFECE-AA-EA,
