Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
XDRS30,Helix Search 30(T),,,,4500HX-DMZ-VA-T,4500 HX DMZ Virtual Appliance(T)
XDRS60-AU,Helix Search 60 (Australia Data Center(T),,,,4502HX-VA-T,4502 HX Virtual Appliance(T)
XDRS60-DE,Helix Search 60 (Germany Data Center(T),,,,4600HX-DMZ-VA-T,4600 HX DMZ Virtual Appliance(T)
XDRS60-SG,Helix Search 60 (Singapore Data Center(T),,,,4600HX-VA-T,4600 HX Virtual Appliance(T)
XDRS60-JP,Helix Search 60 (Tokyo Data Center(T),,,,,Legacy - Classic Endpoint Hardware Appliances
XDRS60-OR,Helix Search 60 (US Oregon Data Center)(T),,,,4502HX-SW-T,4502 HX Appliance Software(T)
XDRS60,Helix Search 60(T),,,,4502HX-DMZ-SW-T,4502 HX DMZ Appliance Software(T)
XDRS90-AU,Helix Search 90 (Australia Data Center(T),,,,4600HX-T,4600 HX Appliance(T)
XDRS90-DE,Helix Search 90 (Germany Data Center(T),,,,4600HX-SW-T,4600 HX Appliance Software(T)
XDRS90-SG,Helix Search 90 (Singapore Data Center(T),,,,4600HX-DMZ-T,4600 HX DMZ Appliance(T)
XDRS90-JP,Helix Search 90 (Tokyo Data Center(T),,,,4600HX-DMZ-SW-T,4600 HX DMZ Appliance Software(T)
XDRS90-OR,Helix Search 90 (US Oregon Data Center)(T),,,,,Legacy - Hermes NDR Subscriptions
XDRS90,Helix Search 90(T),,,,NDR-T,Network Detection and Response(T)
FSO-T,Security Orchestration(T),,,,,Legacy - Hermes Network NX Subscriptions
HE1,Helix Enterprise Edition,,,,NWUNX-T,Network Security NX Edition(T)
HE1-DE,Helix Enterprise Edition Germany Data Center,,,,NWUNS-T,Network Security NX Edition (SMB)(T)
HE1-SG,Helix Enterprise Edition Singapore Data Center,,,,,Legacy - Classic Network NX Virtual Appliances
HE1-AU,Helix Enterprise Edition Australia Data Center,,,,12550VX-BM-VA-T,12550 VX BareMetal Virtual Appliance(T)
,Legacy - Network NS9500 Series IPS Perpetual Software Throughput,,,,12550VX-BM-VA-DTI-T,12550 VX BareMetal Virtual Appliance - Dynamic Threat Intelligence(T)
NS9500-10GBPS,IPS NS9500 - 10Gbps Software license (Throughput based entitlement),,,,1500NXS-VA-T,1500 NXS Virtual Sensor (50 Mbps)(T)
NS9500-20GBPS,IPS NS9500 - 20Gbps Software license (Throughput based entitlement),,,,1500NXS-VA-DTI-T,1500 NXS Virtual Sensor (50 Mbps) - Dynamic Threat Intelligence(T)
NS9500-30GBPS,IPS NS9500 - 30Gbps Software license (Throughput based entitlement),,,,1500VXSC-DTI-T,1500 MVX Cloud for Virtual Sensor - Dynamic Threat Intelligence(T)
NS9500-40GBPS,IPS NS9500 - 40Gbps Software license (Throughput based entitlement),,,,2500NXS-VA-T,2500 NXS Virtual Sensor (100 Mbps)(T)
NS9500-60GBPS,IPS NS9500 - 60Gbps Software license (Throughput based entitlement),,,,2500NXS-VA-DTI-T,2500 NXS Virtual Sensor (100 Mbps) - Dynamic Threat Intelligence(T)
NS9500-100GBPS,IPS NS9500 - 100Gbps Software license (Throughput based entitlement),,,,2500VXSC-DTI-T,2500 MVX Cloud for Virtual Sensor - Dynamic Threat Intelligence(T)
NS9500-10GBPS FO,IPS NS9500 - 10Gbps Failover (HA) Software license (Throughput based entitlement),,,,2550NXS-VA-T,2550 NXS Virtual Sensor (250 Mbps)(T)
NS9500-20GBPS FO,IPS NS9500 - 20Gbps Failover (HA) Software license (Throughput based entitlement),,,,2550NXS-VA-DTI-T,2550 NXS Virtual Sensor (250 Mbps) - Dynamic Threat Intelligence(T)
NS9500-30GBPS FO,IPS NS9500 - 30Gbps Failover (HA) Software license (Throughput based entitlement),,,,2550VXSC-DTI-T,2550 MVX Cloud for Virtual Sensor - Dynamic Threat Intelligence(T)
NS9500-40GBPS FO,IPS NS9500 - 40Gbps Failover (HA) Software license (Throughput based entitlement),,,,4500NXS-VA-T,4500 NXS Virtual Sensor (500 Mbps)(T)
NS9500-60GBPS FO,IPS NS9500 - 60Gbps Failover (HA) Software license (Throughput based entitlement),,,,4500NXS-VA-DTI-T,4500 NXS Virtual Sensor (500 Mbps) - Dynamic Threat Intelligence(T)
NS9500-100GBPS FO,IPS NS9500 - 100Gbps Failover (HA) Software license (Throughput based entitlement),,,,4500VXSC-DTI-T,4500 MVX Cloud for Virtual Sensor - Dynamic Threat Intelligence(T)
,Legacy - Network NS9500 Series IPS Perpetual Software Throughput Upgrade,,,,6500NXS-VA-T,6500 NXS Virtual Sensor (1000 Mbps)(T)
NS9500-U-10 TO 20GBPS,Network Security IPS NS9500 Throughput upgrade - 10 to 20 Gbps,,,,6500NXS-VA-DTI-T,6500 NXS Virtual Sensor (1000 Mbps) - Dynamic Threat Intelligence(T)
NS9500-U-10 TO 30GBPS,Network Security IPS NS9500 Throughput upgrade - 10 to 30 Gbps,,,,6500VXSC-DTI-T,6500 MVX Cloud for Virtual Sensor - Dynamic Threat Intelligence(T)
NS9500-U-10 TO 40GBPS,Network Security IPS NS9500 Throughput upgrade - 10 to 40 Gbps,,,,7500NXS-VA-T,7500 NXS Virtual Sensor (2000 Mbps)(T)
NS9500-U-10 TO 60GBPS,Network Security IPS NS9500 Throughput upgrade - 10 to 60 Gbps,,,,7500NXS-VA-DTI-T,7500 NXS Virtual Sensor (2000 Mbps) - Dynamic Threat Intelligence(T)
NS9500-U-10 TO 100GBPS,Network Security IPS NS9500 Throughput upgrade - 10 to 100 Gbps,,,,8500NXS-VA-T,8500 NXS Virtual Sensor (5000 Mbps)(T)
NS9500-U-20 TO 30GBPS,Network Security IPS NS9500 Throughput upgrade - 20 to 30 Gbps,,,,8500NXS-VA-DTI-T,8500 NXS Virtual Sensor (5000 Mbps) - Dynamic Threat Intelligence(T)
NS9500-U-20 TO 40GBPS,Network Security IPS NS9500 Throughput upgrade - 20 to 40 Gbps,,,,,Legacy - Classic Network NX Hardware Appliances
NS9500-U-20 TO 60GBPS,Network Security IPS NS9500 Throughput upgrade - 20 to 60 Gbps,,,,1500NXS-SW-T,1500 NXS Sensor Appliance (50Mbps) Software(T)
NS9500-U-20 TO 100GBPS,Network Security IPS NS9500 Throughput upgrade - 20 to 100 Gbps,,,,1500NXS-DTI-T,1500 NXS Sensor Appliance (50Mbps) - Dynamic Threat Intelligence(T)
NS9500-U-30 TO 40GBPS,Network Security IPS NS9500 Throughput upgrade - 30 to 40 Gbps,,,,1500VXSCH-DTI-T,1500 MVX Cloud for Appliance - Dynamic Threat Intelligence(T)
NS9500-U-30 TO 60GBPS,Network Security IPS NS9500 Throughput upgrade - 30 to 60 Gbps,,,,2500NX1-SW-T,2500 NX1 Appliance (50Mbps) Software(T)
NS9500-U-30 TO 100GBPS,Network Security IPS NS9500 Throughput upgrade - 30 to 100 Gbps,,,,2500NX1-DTI-T,2500 NX1 Appliance (50Mbps) - Dynamic Threat Intelligence(T)
NS9500-U-40 TO 60GBPS,Network Security IPS NS9500 Throughput upgrade - 40 to 60 Gbps,,,,2500VXC1-DTI-T,2500 MVX Cloud (50 Mbps) for Appliance - Dynamic Threat Intelligence(T)
NS9500-U-40 TO 100GBPS,Network Security IPS NS9500 Throughput upgrade - 40 to 100 Gbps,,,,2500NX2-SW-T,2500 NX2 Appliance (100Mbps) Software(T)
NS9500-U-60 TO 100GBPS,Network Security IPS NS9500 Throughput upgrade - 60 to 100 Gbps,,,,2500NX2-DTI-T,2500 NX2 Appliance (100Mbps) - Dynamic Threat Intelligence(T)
NS9500-FO-U-10 TO 20GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 10 to 20 Gbps,,,,2500VXC2-DTI-T,2500 MVX Cloud (100 Mbps) for Appliance - Dynamic Threat Intelligence(T)
NS9500-FO-U-10 TO 30GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 10 to 30 Gbps,,,,2550NX-SW-T,2550 NX Appliance Software(T)
NS9500-FO-U-10 TO 40GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 10 to 40 Gbps,,,,2550NX-DTI-T,2550 NX Appliance - Dynamic Threat Intelligence(T)
NS9500-FO-U-10 TO 60GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 10 to 60 Gbps,,,,2550VXC-DTI-T,2550 MVX Cloud for Appliance - Dynamic Threat Intelligence(T)
NS9500-FO-U-10 TO 100GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 10 to 100 Gbps,,,,2600NX-T,2600 NX Appliance(T)
NS9500-FO-U-20 TO 30GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 20 to 30 Gbps,,,,2600NX-SW-T,2600 NX Appliance Software(T)
NS9500-FO-U-20 TO 40GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 20 to 40 Gbps,,,,2600NX-DTI-T,2600 NX Appliance - Dynamic Threat Intelligence(T)
NS9500-FO-U-20 TO 60GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 20 to 60 Gbps,,,,3500NX-SW-T,3500 NX Appliance Software(T)
NS9500-FO-U-20 TO 100GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 20 to 100 Gbps,,,,3500NX-DTI-T,3500 NX Appliance - Dynamic Threat Intelligence(T)
NS9500-FO-U-30 TO 40GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 30 to 40 Gbps,,,,3500VXC-DTI-T,3500 MVX Cloud for Appliance - Dynamic Threat Intelligence(T)
NS9500-FO-U-30 TO 60GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 30 to 60 Gbps,,,,3600NX-T,3600 NX Appliance(T)
NS9500-FO-U-30 TO 100GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 30 to 100 Gbps,,,,3600NX-SW-T,3600 NX Appliance Software(T)
NS9500-FO-U-40 TO 60GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 40 to 60 Gbps,,,,3600NX-DTI-T,3600 NX Appliance - Dynamic Threat Intelligence(T)
NS9500-FO-U-40 TO 100GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 40 to 100 Gbps,,,,4500NX-SW-T,4500 NX Appliance Software(T)
NS9500-FO-U-60 TO 100GBPS,Network Security IPS NS9500 Failover (HA) Throughput upgrade - 60 to 100 Gbps,,,,4500NX-DTI-T,4500 NX Appliance - Dynamic Threat Intelligence(T)
,Legacy - Network NS7500 Series IPS Perpetual Software Throughput,,,,4500VXC-DTI-T,4500 MVX Cloud for Appliance - Dynamic Threat Intelligence(T)
NS7500-3GBPS,IPS NS7500 - 3Gbps Software license (Throughput based entitlement),,,,4600NX-T,4600 NX Appliance(T)
NS7500-5GBPS,IPS NS7500 - 5Gbps Software license (Throughput based entitlement),,,,4600NX-SW-T,4600 NX Appliance Software(T)
NS7500-7.5GBPS,IPS NS7500 - 7.5Gbps Software license (Throughput based entitlement),,,,4600NX-DTI-T,4600 NX Appliance - Dynamic Threat Intelligence(T)
NS7500-3GBPS FO,IPS NS7500 - 3Gbps Failover (HA) Software license (Throughput based entitlement),,,,5500NX-SW-T,5500 NX Appliance Software(T)
NS7500-5GBPS FO,IPS NS7500 - 5Gbps Failover (HA) Software license (Throughput based entitlement),,,,5500NX-DTI-T,5500 NX Appliance - Dynamic Threat Intelligence(T)
NS7500-7.5GBPS FO,IPS NS7500 - 7.5Gbps Failover (HA) Software license (Throughput based entitlement),,,,5500VXC-DTI-T,5500 MVX Cloud for Appliance - Dynamic Threat Intelligence(T)
,Legacy - Network NS7500 Series IPS Perpetual Software Throughput Upgrade,,,,5600NX-T,5600 NX Appliance(T)
NS7500-U-3 TO 5GBPS,Network Security IPS NS7500 Throughput upgrade - 3 to 5 Gbps,,,,5600NX-SW-T,5600 NX Appliance Software(T)
NS7500-U-3 TO 7.5GBPS,Network Security IPS NS7500 Throughput upgrade - 3 to 7.5 Gbps,,,,5600NX-DTI-T,5600 NX Appliance - Dynamic Threat Intelligence(T)
NS7500-U-5 TO 7.5GBPS,Network Security IPS NS7500 Throughput upgrade - 5 to 7.5 Gbps,,,,6500NX-SW-T,6500 NX Appliance Software(T)
NS7500-FO-U-3 TO 5GBPS,Network Security IPS NS7500 Failover (HA) Throughput upgrade - 3 to 5 Gbps,,,,6500NX-DTI-T,6500 NX Appliance - Dynamic Threat Intelligence(T)
NS7500-FO-U-3 TO 7.5GBPS,Network Security IPS NS7500 Failover (HA) Throughput upgrade - 3 to 7.5 Gbps,,,,6500VXC-DTI-T,6500 MVX Cloud for Appliance - Dynamic Threat Intelligence(T)
NS7500-FO-U-5 TO 7.5GBPS,Network Security IPS NS7500 Failover (HA) Throughput upgrade - 5 to 7.5 Gbps,,,,6600NX-T,6600 NX Appliance(T)
,Legacy - Next Generation Network IPS Appliances,,,,6600NX-SW-T,6600 NX Appliance Software(T)
IPS NS9300,Network Security IPS NS9300 Appliance,,,,6600NX-DTI-T,6600 NX Appliance - Dynamic Threat Intelligence(T)
IPS NS9300-FO,Network Security IPS NS9300 Appliance - Failover,,,,8600NX-T,8600 NX Appliance(T)
IPS NS9300-FO-UPG,Network Security IPS NS9300 Appliance - FO to PRD Upgrade,,,,8600NX-SW-T,8600 NX Appliance Software(T)
IPS NS9200,Network Security IPS NS9200 Appliance,,,,8600NX-DTI-T,8600 NX Appliance - Dynamic Threat Intelligence(T)
IPS NS9200-FO,Network Security IPS NS9200 Appliance - Failover,,,,,Legacy - Classic IVX Enterprise (Formerly MVX Compute) Hardware Appliances
IPS NS9200-FO-UPG,Network Security IPS NS9200 Appliance - FO to PRD Upgrade,,,,5500MVX-SW-T,5500 MVX Compute Appliance Software(T)
IPS NS9100,Network Security IPS NS9100 Appliance,,,,5500MVX-DTI-T,5500 MVX Compute - Dynamic Threat Intelligence(T)
IPS NS9100-FO,Network Security IPS NS9100 Appliance - Failover,,,,12550MVX-SW-T,12550 MVX Compute Appliance Software(T)
IPS NS9100-FO-UPG,Network Security IPS NS9100 Appliance - FO to PRD Upgrade,,,,12550MVX-DTI-T,12550 MVX Compute - Dynamic Threat Intelligence(T)
IPS NS7500,Trellix Network Security IPS NS7500 Appliance,,,,5600MVX-T,5600 IVX Enterprise (Formerly MVX Compute) Appliance(T)
NS7500-3GBPS-S,Trellix IPS NS7500 - 3Gbps Software license (Throughput based entitlement),,,,5600MVX-SW-T,5600 IVX Enterprise  (Formerly MVX Compute) Appliance Software(T)
NS7500-5GBPS-S,Trellix IPS NS7500 - 5Gbps Software license (Throughput based entitlement),,,,5600MVX-DTI-T,5600 IVX Enterprise  (Formerly MVX Compute) Appliance - Dynamic Threat Intelligence(T)
NS7500-7.5GBPS-S,Trellix IPS NS7500 - 7.5Gbps Software license (Throughput based entitlement),,,,12600MVX-T,12600 IVX Enterprise  (Formerly MVX Compute) Appliance(T)
NS7500-3GBPS FO-S,Trellix IPS NS7500 - 3Gbps Failover (HA) Software license (Throughput based entitlement),,,,12600MVX-SW-T,12600 IVX Enterprise  (Formerly MVX Compute) Appliance Software(T)
NS7500-5GBPS FO-S,Trellix IPS NS7500 - 5Gbps Failover (HA) Software license (Throughput based entitlement),,,,12600MVX-DTI-T,12600 IVX Enterprise  (Formerly MVX Compute) Appliance - Dynamic Threat Intelligence(T)
NS7500-7.5GBPS FO-S,Trellix IPS NS7500 - 7.5Gbps Failover (HA) Software license (Throughput based entitlement),,,,,Legacy - Hermes VX ISO Virtual Appliance Deployment Options
IPS NS7500 3GB-SSL,Trellix Network Security IPS NS7500 3Gbps Appliance - Inbound/Outbound SSL,,,,NWVXISO-1G-VA-S-T,Network Security VXISO-1G - Virtual Appliance Subscription(T)
IPS NS7500 5GB-SSL,Trellix Network Security IPS NS7500 5Gbps Appliance - Inbound/Outbound SSL,,,,NWVXISO-1G-VA-T,Network Security VXISO-1G - Virtual Appliance(T)
IPS NS7500 7.5-SSL,Trellix Network Security IPS NS7500 7.5Gbps Appliance - Inbound/Outbound SSL,,,,NWVXISO-5G-VA-S-T,Network Security VXISO-5G - Virtual Appliance Subscription(T)
IPS NS7350,Network Security IPS NS7350 Appliance,,,,NWVXISO-5G-VA-T,Network Security VXISO-5G - Virtual Appliance(T)
IPS NS7350-FO,Network Security IPS NS7350 Appliance - Failover,,,,NWVXISO-10G-VA-S-T,Network Security VXISO-10G - Virtual Appliance Subscription(T)
IPS NS7350-FO-UPG,Network Security IPS NS7350 Appliance - FO to PRD Upgrade,,,,NWVXISO-10G-VA-T,Network Security VXISO-10G - Virtual Appliance(T)
IPS NS7250,Network Security IPS NS7250 Appliance,,,,,Legacy - Classic VX ISO Virtual Appliances
IPS NS7250-FO,Network Security IPS NS7250 Appliance - Failover,,,,VXISO-1G-T,VX Software Image 1G(T)
IPS NS7250-FO-UPG,Network Security IPS NS7250 Appliance - FO to PRD Upgrade,,,,VXISO-1G-DTI-T,VX Software Image 1G - Dynamic Threat Intelligence(T)
IPS NS7150,Network Security IPS NS7150 Appliance,,,,VXISO-5G-T,VX Software Image 5G(T)
IPS NS7150-FO,Network Security IPS NS7150 Appliance - Failover,,,,VXISO-5G-DTI-T,VX Software Image 5G - Dynamic Threat Intelligence(T)
IPS NS7150-FO-UPG,Network Security IPS NS7150 Appliance - FO to PRD Upgrade,,,,VXISO-10G-T,VX Software Image 10G(T)
IPS NS5200,Network Security IPS NS5200 Appliance,,,,VXISO-10G-DTI-T,VX Software Image 10G - Dynamic Threat Intelligence(T)
IPS NS5200-FO,Network Security IPS NS5200 Appliance - Failover,,,,,Legacy - Classic IVX Investigator/Malware Analysis AX Hardware Appliances
IPS NS5200-FO-UPG,Network Security IPS NS5200 Appliance - FO to PRD Upgrade,,,,5550AX-SW-T,5550 AX Appliance Software(T)
IPS NS5100,Network Security IPS NS5100 Appliance,,,,5550AX-DTI-T,5550 AX Appliance - Dynamic Threat Intelligence(T)
IPS NS5100-FO,Network Security IPS NS5100 Appliance - Failover,,,,5600AX-T,5600 IVX Investigator (Formerly AX) Appliance(T)
IPS NS5100-FO-UPG,Network Security IPS NS5100 Appliance - FO to PRD Upgrade,,,,5600AX-SW-T,5600 IVX Investigator (Formerly AX) Appliance Software(T)
IPS NS3500,Network Security IPS NS3500 Appliance,,,,5600AX-DTI-T,5600 IVX Investigator (Formerly AX) Appliance - Dynamic Threat Intelligence(T)
NS3500-200/750MBPS,IPS NS3500 - 200/750 Mbps Software license (Throughput based entitlement),,,,,Legacy - Classic Forensics IA Hardware Appliances
IPS NS3200-B,Trellix Network Security IPS NS3200-B Appliance,,,,1000DIA-SW-T,1000D IA Appliance Software(T)
